English,Português
the,a
be,ser
and,e
of,de
a,uma
in,no
to,para
have,tenho
to,para
it,isto
I,EU
that,este
for,para
you,tu
he,ele
with,com
on,sobre
do,Faz
say,dizer
they,elas
this,isto
but,mas
at,no
we,nós
his,seu
from,a partir de
that,este
not,não
n't,não
by,por
or,ou
she,ela
as,Como
what,o que
go,ir
their,deles
will,vai
who,quem
can,posso
get,pegue
if,E se
all,todo
would,gostaria
her,dela
make,fazer
about,cerca de
my,minha
know,saber
as,Como
there,lá
one,1
up,acima
time,Tempo
year,ano
so,então
think,pensar
see,Vejo
which,que
when,quando
some,algum
them,eles
people,pessoas
take,levar
me,Eu
out,Fora
into,em
just,somente
him,dele
come,venha
your,sua
now,agora
could,poderia
than,que
like,gosta
other,outro
then,então
how,quão
its,Está
two,dois
our,nosso
more,mais
these,esses
want,querer
way,caminho
no,não
look,olhar
first,primeiro
also,Além disso
new,novo
because,Porque
day,dia
more,mais
use,usar
man,cara
here,aqui
find,achar
give,dar
thing,coisa
well,Nós vamos
many,muitos
only,só
those,Essa
tell,dizer
very,muito
one,1
even,até
her,dela
back,costas
any,algum
good,Boa
us,nós
through,Através dos
woman,mulher
life,vida
child,filho
there,lá
down,baixa
work,trabalhar
after,depois de
call,ligar
may,poderia
world,mundo
over,sobre
should,devemos
still,ainda
try,experimentar
in,no
school,escola
as,Como
last,último
ask,perguntar
too,também
need,necessidade
three,três
feel,sentir
when,quando
become,vir a ser
state,Estado
never,Nunca
between,entre
high,Alto
something,algo
really,mesmo
most,maioria
another,outro
much,Muito de
own,ter
family,família
out,Fora
house,lar
leave,sair
put,por
old,velho
on,sobre
while,enquanto
mean,significar
let,deixei
why,porque
president,Presidente
keep,guarda
same,mesmo
great,excelente
begin,começar
big,grande
seem,parecer
group,grupo
country,país
talk,conversa
problem,problema
where,Onde
turn,virar
student,aluna
every,cada
hand,mão
help,ajuda
against,contra
start,começar
American,americano
part,papel
show,mostrar
about,cerca de
over,sobre
might,poderia
such,tal
place,"Lugar, colocar"
again,novamente
city,cidade
case,caso
most,maioria
few,alguns
system,sistema
week,semana
where,Onde
company,empresa
each,cada
percent,por cento
hear,ouvir
so,então
during,no decorrer
question,pergunta
right,direita
program,programa
work,trabalhar
run,corre
number,número
small,pequeno
government,governo
play,Reproduzir
off,desligado
move,mover
like,gosta
always,sempre
night,noite
believe,acreditam
today,hoje
hold,segurar
point,apontar
live,viva
happen,acontecer
bring,trazer
next,Próximo
without,sem
before,antes
large,ampla
must,devo
all,todo
war,guerra
home,casa
under,debaixo
room,quarto
fact,facto
area,área
national,nacional
write,Escreva
money,dinheiro
right,direita
story,história
water,agua
mother,mãe
different,diferente
young,novo
month,mês
lot,muito
book,livro
eye,olho
study,estudar
job,trabalho
kind,Gentil
word,palavra
issue,questão
side,lado
four,quatro
business,o negócio
though,no entanto
head,cabeça
far,longe
long,longo
black,Preto
million,milhão
both,Ambas
little,pequeno
yes,sim
after,depois de
since,Desde a
around,por aí
long,longo
provide,providenciar
service,serviço
important,importante
sit,sentar
away,longe
friend,amigo
however,Contudo
power,potência
no,não
yet,ainda
father,pai
hour,hora
often,frequentemente
until,até
political,político
line,linha
end,fim
stand,ficar em pé
among,entre
game,jogos
ever,sempre
lose,perder
bad,mau
member,membro
meet,encontra
pay,pagar
law,lei
almost,quase
car,carro
later,mais tarde
much,Muito de
name,nome
include,incluir
five,cinco
center,Centro
once,uma vez
university,universidade
continue,Prosseguir
least,ao menos
real,real
white,branco
change,mudança
set,definir
several,de várias
